Time_sec,Local_Field_Potential_mV
0.719,-0.07086
0.72,-0.082153
0.721,-0.07491
0.722,-0.0030664
0.723,-0.0053271
0.724,-0.019037
0.725,0.0035627
0.726,0.005184
0.727,-0.0027661
0.728,0.036022
0.729,0.041169
0.73,0.026304
0.731,0.056344
0.732,0.051526
0.733,0.063384
0.734,0.061303
0.735,0.042695
0.736,0.020152
0.737,-0.0020469
0.738,0.058227
0.739,0.077312
0.74,0.013374
0.741,0.017558
0.742,0.029777
0.743,0.019115
0.744,0.077451
0.745,0.12956
0.746,0.14345
0.747,0.11415
0.748,0.099843
0.749,0.15648
0.75,0.1476
0.751,0.075919
0.752,0.041933
0.753,0.021877
0.754,0.058511
0.755,0.080552
0.756,0.088294
0.757,0.09797
0.758,0.11313
0.759,0.18674
0.76,0.20369
0.761,0.1812
0.762,0.15652
0.763,0.1363
0.764,0.13689
0.765,0.13706
0.766,0.12982
0.767,0.11741
0.768,0.10887
0.769,0.068947
0.77,0.073381
0.771,0.032249
0.772,0.014089
0.773,0.088776
0.774,0.038303
0.775,0.015514
0.776,0.021959
0.777,0.014672
0.778,0.057902
0.779,0.056934
0.78,0.066191
0.781,0.039456
0.782,0.0060079
0.783,0.0096752
0.784,-0.029333
0.785,-0.049975
0.786,-0.043686
0.787,-0.029137
0.788,-0.044994
0.789,-0.031215
0.79,0.050506
0.791,0.038121
0.792,0.044965
0.793,0.071416
0.794,0.069455
0.795,0.098482
0.796,0.0728
0.797,0.087958
0.798,0.096171
0.799,0.090086
0.8,0.086515
0.801,0.026692
0.802,0.04032
0.803,0.042366
0.804,0.030249
0.805,0.022716
0.806,-0.0087532
0.807,0.013211
0.808,-0.00042536
0.809,0.01412
0.81,0.044732
0.811,0.034971
0.812,0.055868
0.813,0.021902
0.814,-0.027719
0.815,-0.047436
0.816,-0.077694
0.817,-0.067821
0.818,-0.11384
0.819,-0.17691
0.82,-0.18301
0.821,-0.23032
0.822,-0.18526
0.823,-0.18714
0.824,-0.23768
0.825,-0.17038
0.826,-0.13996
0.827,-0.093653
0.828,-0.070684
0.829,-0.086486
0.83,-0.11807
0.831,-0.16849
0.832,-0.15291
0.833,-0.10754
0.834,-0.098139
0.835,-0.061594
0.836,0.0046696
0.837,0.021326
0.838,0.045622
0.839,0.059242
0.84,0.070134
0.841,0.10048
0.842,0.094134
0.843,0.095807
0.844,0.094616
0.845,0.074143
0.846,0.05719
0.847,0.064393
0.848,0.10654
0.849,0.11852
0.85,0.09725
0.851,0.096526
0.852,0.063154
0.853,0.06265
0.854,0.11539
0.855,0.12005
0.856,0.11903
0.857,0.10833
0.858,0.086329
0.859,0.11302
0.86,0.10199
0.861,0.077905
0.862,0.090568
0.863,0.10471
0.864,0.11317
0.865,0.11516
0.866,0.11695
0.867,0.094739
0.868,0.055154
0.869,0.0069564
0.87,0.012811
0.871,0.051132
0.872,0.08259
0.873,0.098424
0.874,0.083565
0.875,0.090334
0.876,0.093361
0.877,0.10833
0.878,0.15216
0.879,0.17079
0.88,0.14131
0.881,0.10056
0.882,0.089362
0.883,0.06742
0.884,0.07067
0.885,0.046421
0.886,-0.0053948
0.887,0.017755
0.888,0.019434
0.889,0.0089827
0.89,0.040598
0.891,0.053811
0.892,0.053163
0.893,0.082208
0.894,0.069977
0.895,0.033213
0.896,0.024526
0.897,-0.0047073
0.898,-0.021553
0.899,0.0098559
0.9,0.0074373
0.901,-0.045366
0.902,-0.055292
0.903,-0.051387
0.904,-0.083274
0.905,-0.10221
0.906,-0.076748
0.907,-0.083869
0.908,-0.10046
0.909,-0.081207
0.91,-0.088705
0.911,-0.074304
0.912,-0.045161
0.913,-0.095047
0.914,-0.11248
0.915,-0.077248
0.916,-0.057107
0.917,-0.036825
0.918,-0.012372
0.919,0.00014638
0.92,-0.0028142
0.921,0.049181
0.922,0.10853
0.923,0.11402
0.924,0.14756
0.925,0.18241
0.926,0.19951
0.927,0.22863
0.928,0.25097
0.929,0.27592
0.93,0.2983
0.931,0.27914
0.932,0.23487
0.933,0.22147
0.934,0.20416
0.935,0.15719
0.936,0.11121
0.937,0.072696
0.938,0.047786
0.939,0.036456
0.94,0.045514
0.941,0.036848
0.942,0.038913
0.943,0.083229
0.944,0.099279
0.945,0.10992
0.946,0.11339
0.947,0.12824
0.948,0.13938
0.949,0.11881
0.95,0.1407
0.951,0.11575
0.952,0.053926
0.953,0.060624
0.954,0.047151
0.955,0.068044
0.956,0.15428
0.957,0.16487
0.958,0.16957
0.959,0.19397
0.96,0.19061
0.961,0.2014
0.962,0.2018
0.963,0.19778
0.964,0.2019
0.965,0.19816
0.966,0.15519
0.967,0.11787
0.968,0.096626
0.969,0.058594
0.97,0.069844
0.971,0.11331
0.972,0.10678
0.973,0.084749
0.974,0.07606
0.975,0.052655
0.976,0.083156
0.977,0.10681
0.978,0.095944
0.979,0.10824
0.98,0.12068
0.981,0.1376
0.982,0.14088
0.983,0.1317
0.984,0.15737
0.985,0.16705
0.986,0.14018
0.987,0.17611
0.988,0.21255
0.989,0.25133
0.99,0.25979
0.991,0.23408
0.992,0.28114
0.993,0.32466
0.994,0.31048
0.995,0.3223
0.996,0.32988
0.997,0.3043
0.998,0.31359
0.999,0.30989
1,0.31367
1.001,0.28146
1.002,0.23365
1.003,0.23615
1.004,0.25205
1.005,0.2562
1.006,0.2094
1.007,0.20155
1.008,0.21151
1.009,0.21265
1.01,0.2253
1.011,0.24803
1.012,0.23643
1.013,0.21527
1.014,0.22892
1.015,0.20965
1.016,0.20103
1.017,0.1654
1.018,0.14295
1.019,0.1539
1.02,0.15728
1.021,0.1568
1.022,0.15322
1.023,0.1799
