Time_sec,Trace_1_pA
12.7792,15.9093058
12.77925,15.82975
12.7793,15.9428192
12.77935,16.0433192
12.7794,15.436125
12.77945,15.7795
12.7795,16.173125
12.77955,15.478
12.7796,16.1438192
12.77965,15.854875
12.7797,15.7125
12.77975,15.6078192
12.7798,15.9846942
12.77985,15.8506808
12.7799,15.8758192
12.77995,15.7753192
12.78,16.022375
12.78005,15.888375
12.7801,15.89675
12.78015,15.8171942
12.7802,15.6580692
12.78025,15.93025
12.7803,15.9930558
12.78035,15.9511808
12.7804,15.7418192
12.78045,15.8506808
12.7805,15.8171942
12.78055,15.988875
12.7806,16.055875
12.78065,15.9344442
12.7807,15.7334442
12.78075,15.670625
12.7808,16.0181942
12.78085,15.69575
12.7809,15.519875
12.78095,16.0265692
12.781,16.206625
12.78105,15.86325
12.7811,15.9679308
12.78115,15.8423058
12.7812,15.9093058
12.78125,16.2191808
12.7813,16.1689442
12.78135,15.89675
12.7814,15.5408192
12.78145,15.813
12.7815,15.7125
12.78155,15.888375
12.7816,15.7585558
12.78165,15.9135
12.7817,15.6999442
12.78175,15.503125
12.7818,16.0516808
12.78185,15.947
12.7819,15.545
12.78195,15.754375
12.782,15.612
12.78205,15.6999442
12.7821,15.8423058
12.78215,15.46125
12.7822,16.0768058
12.78225,16.173125
12.7823,15.9260558
12.78235,16.148
12.7824,15.452875
12.78245,16.19825
12.7825,15.737625
12.78255,15.888375
12.7826,15.9595692
12.78265,15.8088058
12.7827,15.8255692
12.78275,15.9595692
12.7828,15.804625
12.78285,15.9511808
12.7829,15.99725
12.78295,15.9805
12.783,16.16475
12.78305,16.089375
12.7831,15.7920692
12.78315,15.813
12.7832,15.737625
12.78325,15.9846942
12.7833,15.813
12.78335,15.804625
12.7834,15.9846942
12.78345,15.9093058
12.7835,16.0516808
12.78355,15.82975
12.7836,16.0851942
12.78365,15.813
12.7837,15.62875
12.78375,15.905125
12.7838,15.9763192
12.78385,15.888375
12.7839,15.7418192
12.78395,15.82975
12.784,16.4536808
12.78405,15.9930558
12.7841,15.8088058
12.78415,16.09775
12.7842,15.93025
12.78425,15.86325
12.7843,15.8339442
12.78435,15.7795
12.7844,16.014
12.78445,16.340625
12.7845,15.8423058
12.78455,15.8465
12.7846,15.9428192
12.78465,16.3615692
12.7847,15.88
12.78475,15.9930558
12.7848,15.972125
12.78485,15.9930558
12.7849,15.720875
12.78495,15.988875
12.785,16.014
12.78505,15.7501942
12.7851,16.0516808
12.78515,15.9009442
12.7852,16.2275692
12.78525,15.9428192
12.7853,15.8465
12.78535,15.5910558
12.7854,15.7585558
12.78545,15.9511808
12.7855,15.2811942
12.78555,15.704125
12.7856,15.8841808
12.78565,15.88
12.7857,15.7418192
12.78575,15.7753192
12.7858,15.6748058
12.78585,15.93025
12.7859,15.8339442
12.78595,16.1940692
12.786,16.0014442
12.78605,16.039125
12.7861,15.7585558
12.78615,15.7083192
12.7862,15.938625
12.78625,15.813
12.7863,15.9135
12.78635,15.787875
12.7864,16.1186808
12.78645,15.972125
12.7865,15.687375
12.78655,15.921875
12.7866,15.921875
12.78665,15.82975
12.7867,15.8506808
12.78675,15.3649442
12.7868,15.687375
12.78685,16.1354308
12.7869,15.9805
12.78695,16.03075
12.787,16.23175
12.78705,16.0014442
12.7871,15.5743192
12.78715,15.5575558
12.7872,15.9805
12.78725,15.938625
12.7873,16.0433192
12.78735,15.888375
12.7874,16.072625
12.78745,15.46125
12.7875,15.6455
12.78755,15.586875
12.7876,15.8758192
12.78765,15.9135
12.7877,16.0516808
12.78775,15.9805
12.7878,16.2945692
12.78785,15.536625
12.7879,15.96375
12.78795,15.93025
12.788,15.754375
12.78805,15.620375
12.7881,15.9930558
12.78815,16.122875
12.7882,15.7418192
12.78825,15.6999442
12.7883,15.7334442
12.78835,15.7920692
12.7884,16.139625
12.78845,16.1270692
12.7885,15.720875
12.78855,16.2526942
12.7886,15.88
12.78865,16.206625
12.7887,15.603625
12.78875,15.4821942
12.7888,15.7753192
12.78885,15.8590692
12.7889,15.9679308
12.78895,15.553375
12.789,15.4151942
12.78905,15.7166808
12.7891,15.813
12.78915,15.7795
12.7892,16.2275692
12.78925,15.9428192
12.7893,15.8925692
12.78935,15.8171942
12.7894,16.072625
12.78945,15.746
12.7895,15.7795
12.78955,15.8590692
12.7896,16.0181942
12.78965,15.7795
12.7897,15.838125
12.78975,15.8088058
12.7898,15.737625
12.78985,16.282
12.7899,15.503125
12.78995,15.771125
12.79,15.96375
12.79005,15.888375
12.7901,16.3615692
12.79015,15.871625
12.7902,15.9428192
12.79025,15.9009442
12.7903,15.8758192
12.79035,15.854875
12.7904,15.519875
12.79045,15.6245692
12.7905,15.96375
12.79055,15.8506808
12.7906,16.16475
12.79065,15.7920692
12.7907,16.014
12.79075,15.947
12.7908,15.9176942
12.79085,16.005625
12.7909,15.8590692
12.79095,15.9511808
12.791,16.1103192
12.79105,15.8088058
12.7911,16.014
12.79115,16.0475
12.7912,16.0349308
12.79125,15.947
12.7913,16.2191808
12.79135,16.0768058
12.7914,15.737625
12.79145,15.8841808
12.7915,15.9846942
12.79155,15.4989442
12.7916,15.754375
12.79165,15.6455
12.7917,15.3230692
12.79175,15.7836942
12.7918,15.7795
12.79185,15.7250558
12.7919,15.5073058
12.79195,15.972125
12.792,16.03075
12.79205,15.9930558
12.7921,15.737625
12.79215,15.8171942
12.7922,15.72925
12.79225,15.704125
12.7923,16.1940692
12.79235,15.72925
12.7924,15.6161942
12.79245,15.99725
12.7925,16.1521942
12.79255,15.66225
12.7926,16.0475
12.79265,15.79625
12.7927,15.9093058
12.79275,15.955375
12.7928,15.7753192
12.79285,15.888375
12.7929,16.1145
12.79295,15.88
12.793,15.6748058
12.79305,15.988875
12.7931,15.8590692
12.79315,15.6580692
12.7932,16.1103192
12.79325,16.014
12.7933,15.7083192
12.79335,15.7501942
12.7934,15.704125
12.79345,16.2485
12.7935,15.947
12.79355,16.022375
12.7936,16.0014442
12.79365,15.9930558
12.7937,16.206625
